Timestamp	Lambda3	Lambda4	Lambda5	Lambda6	Lambda7	Lambda9	Lambda10	Lambda11	Lambda12
17/1/2023 16:24:37.28555	"152,288,909"	"152,661,948"	"153,009,638"	"153,440,552"	"153,831,789"	"154,633,111"	"155,008,010"	"155,411,438"	"155,793,999"
17/1/2023 16:24:37.78555	"152,295,983"	"152,668,430"	"153,015,703"	"153,400,236"	"153,839,525"	"154,642,651"	"155,015,336"	"155,416,228"	"155,798,535"
17/1/2023 16:24:38.28555	"152,282,717"	"152,653,981"	"153,002,577"	"153,400,236"	"153,827,325"	"154,636,279"	"155,014,346"	"155,419,893"	"155,802,071"
17/1/2023 16:24:38.78555	"152,285,962"	"152,658,030"	"153,005,052"	"153,400,236"	"153,830,207"	"154,635,219"	"155,002,018"	"155,396,262"	"155,776,636"
17/1/2023 16:24:39.28555	"152,301,600"	"152,675,365"	"153,022,550"	"153,401,407"	"153,841,794"	"154,639,632"	"155,009,994"	"155,405,378"	"155,782,519"
17/1/2023 16:24:39.78555	"152,301,965"	"152,676,421"	"153,024,308"	"153,403,611"	"153,846,508"	"154,646,981"	"155,018,784"	"155,418,446"	"155,798,517"
17/1/2023 16:24:40.28555	"152,301,504"	"152,675,798"	"153,024,121"	"153,403,343"	"153,846,095"	"154,646,728"	"155,018,457"	"155,418,056"	"155,797,988"
17/1/2023 16:24:40.78555	"152,301,210"	"152,675,806"	"153,023,945"	"153,403,112"	"153,845,951"	"154,646,505"	"155,018,420"	"155,417,836"	"155,797,907"
17/1/2023 16:24:41.28555	"152,301,216"	"152,675,734"	"153,023,663"	"153,403,134"	"153,846,025"	"154,646,480"	"155,018,337"	"155,417,772"	"155,797,817"
17/1/2023 16:24:41.78555	"152,301,139"	"152,675,497"	"153,023,614"	"153,403,141"	"153,845,940"	"154,646,381"	"155,018,286"	"155,417,803"	"155,797,705"
17/1/2023 16:24:42.28555	"152,301,048"	"152,675,601"	"153,023,607"	"153,402,995"	"153,845,824"	"154,646,500"	"155,018,237"	"155,417,753"	"155,797,764"
17/1/2023 16:24:42.78555	"152,301,020"	"152,675,391"	"153,023,556"	"153,403,054"	"153,845,904"	"154,646,414"	"155,018,255"	"155,417,734"	"155,797,712"
17/1/2023 16:24:43.28555	"152,301,189"	"152,675,610"	"153,023,622"	"153,403,034"	"153,845,884"	"154,646,460"	"155,018,289"	"155,417,784"	"155,797,638"
17/1/2023 16:24:43.78555	"152,300,995"	"152,675,676"	"153,023,696"	"153,403,246"	"153,845,817"	"154,646,510"	"155,018,291"	"155,417,858"	"155,797,711"
17/1/2023 16:24:44.28555	"152,301,040"	"152,675,520"	"153,023,750"	"153,403,125"	"153,845,886"	"154,646,518"	"155,018,263"	"155,417,784"	"155,797,750"
17/1/2023 16:24:44.78555	"152,301,149"	"152,675,595"	"153,023,680"	"153,403,066"	"153,845,896"	"154,646,585"	"155,018,383"	"155,417,846"	"155,797,733"
17/1/2023 16:24:45.28555	"152,301,113"	"152,675,716"	"153,023,764"	"153,403,132"	"153,846,071"	"154,646,569"	"155,018,411"	"155,417,813"	"155,797,704"
17/1/2023 16:24:45.78555	"152,301,027"	"152,675,613"	"153,023,730"	"153,403,321"	"153,846,031"	"154,646,561"	"155,018,404"	"155,417,871"	"155,797,808"
17/1/2023 16:24:46.28555	"152,300,946"	"152,675,530"	"153,023,896"	"153,403,240"	"153,846,073"	"154,646,595"	"155,018,403"	"155,417,952"	"155,797,745"
17/1/2023 16:24:46.78555	"152,301,072"	"152,675,715"	"153,023,781"	"153,403,412"	"153,846,044"	"154,646,670"	"155,018,350"	"155,417,885"	"155,797,795"
17/1/2023 16:24:47.28555	"152,301,089"	"152,675,661"	"153,023,684"	"153,403,222"	"153,846,092"	"154,646,620"	"155,018,513"	"155,417,899"	"155,797,743"
17/1/2023 16:24:47.78555	"152,301,092"	"152,675,654"	"153,023,784"	"153,403,288"	"153,846,147"	"154,646,588"	"155,018,556"	"155,417,958"	"155,797,799"
17/1/2023 16:24:48.28555	"152,300,922"	"152,675,649"	"153,023,776"	"153,403,123"	"153,846,074"	"154,646,728"	"155,018,518"	"155,417,874"	"155,797,904"
17/1/2023 16:24:48.78555	"152,301,161"	"152,675,688"	"153,023,815"	"153,403,329"	"153,846,092"	"154,646,716"	"155,018,445"	"155,418,049"	"155,797,795"
17/1/2023 16:24:49.28555	"152,301,069"	"152,675,711"	"153,023,796"	"153,403,320"	"153,846,088"	"154,646,623"	"155,018,570"	"155,417,874"	"155,797,873"
17/1/2023 16:24:49.78555	"152,301,189"	"152,675,700"	"153,023,761"	"153,403,147"	"153,846,144"	"154,646,635"	"155,018,531"	"155,418,007"	"155,797,818"
17/1/2023 16:24:50.28555	"152,301,173"	"152,675,577"	"153,023,555"	"153,403,210"	"153,846,215"	"154,646,679"	"155,018,473"	"155,417,907"	"155,797,866"
17/1/2023 16:24:50.78555	"152,301,142"	"152,675,605"	"153,023,762"	"153,403,270"	"153,846,207"	"154,646,669"	"155,018,497"	"155,417,992"	"155,797,829"
17/1/2023 16:24:51.28555	"152,301,051"	"152,675,725"	"153,023,731"	"153,403,359"	"153,846,225"	"154,646,708"	"155,018,519"	"155,418,044"	"155,797,904"
17/1/2023 16:24:51.78555	"152,301,161"	"152,675,599"	"153,023,736"	"153,403,186"	"153,846,153"	"154,646,761"	"155,018,537"	"155,418,098"	"155,797,922"
17/1/2023 16:24:52.28555	"152,300,867"	"152,675,442"	"153,023,549"	"153,403,083"	"153,845,847"	"154,646,626"	"155,018,264"	"155,417,879"	"155,797,720"
17/1/2023 16:24:52.78555	"152,300,914"	"152,675,574"	"153,023,585"	"153,403,025"	"153,845,982"	"154,646,417"	"155,018,167"	"155,417,591"	"155,797,499"
17/1/2023 16:24:53.28555	"152,291,550"	"152,662,351"	"153,005,311"	"153,380,212"	"153,812,731"	"154,604,179"	"154,974,517"	"155,371,622"	"155,746,325"
17/1/2023 16:24:53.78555	"152,280,734"	"152,655,997"	"152,998,183"	"153,370,337"	"153,799,009"	"154,585,860"	"154,962,234"	"155,376,415"	"155,771,888"
17/1/2023 16:24:54.28555	"152,271,005"	"152,645,723"	"152,995,610"	"153,370,337"	"153,832,336"	"154,632,402"	"155,004,335"	"155,408,121"	"155,791,988"
17/1/2023 16:24:54.78555	"152,288,479"	"152,667,077"	"153,025,434"	"153,404,301"	"153,839,025"	"154,639,831"	"155,011,260"	"155,408,079"	"155,787,828"
17/1/2023 16:24:55.28555	"152,298,744"	"152,666,287"	"153,011,462"	"153,386,966"	"153,825,783"	"154,624,668"	"154,996,031"	"155,397,339"	"155,778,932"
17/1/2023 16:24:55.78555	"152,314,524"	"152,687,527"	"153,032,642"	"153,386,966"	"153,851,040"	"154,647,364"	"155,018,759"	"155,418,360"	"155,796,862"
17/1/2023 16:24:56.28555	"152,295,730"	"152,666,831"	"153,013,704"	"153,386,966"	"153,835,154"	"154,636,579"	"155,009,496"	"155,412,042"	"155,796,250"
